experiment,exp2_top_models,,,,,,,,,,,
type,2,,,,,,,,,,,
k_value,5,,,,,,,,,,,
,,,,,,,,,,,,
,bert,,,btm,,,ctm,,,rnd,,
,grok4,haiku3.5,sonnet4,gemini2.5pro,grok4,sonnet4,gemini2.5pro,grok4,sonnet4,gpt3.5turbo,gpt4o,grok4
700,0.1528,0.1396,0.1664,0.1768,0.1943,0.1794,0.1731,0.1985,0.1832,0.0981,0.1075,0.2057
1300,0.1449,0.1398,0.1582,0.1731,0.1761,0.1735,0.1674,0.1784,0.1755,0.0510,0.1480,0.1224
2000,0.1517,0.1450,0.1820,0.1860,0.1759,0.1981,0.1871,0.1842,0.2017,0.0412,0.0784,0.1874
